point,sr1,asr1,sr2,asr2,sr3,asr3,sr4,asr4
162,35338,35242,37843,37795,25761,25270,25833,25452
163,35171,34877,37836,37806,25593,24840,25583,24876
164,35124,34768,37833,37852,25556,24734,25534,24729
165,35121,34723,37838,37849,25542,24693,25516,24679
166,35101,34722,37831,37795,25536,24691,25510,24672
167,35099,34702,37818,37741,25530,24705,25508,24659
168,35088,34690,37797,37661,25524,24696,25488,24665
169,35079,34699,37782,37629,25517,24685,25477,24652
170,35070,34679,37776,37596,25514,24678,25485,24639
171,35078,34652,37775,37605,25506,24682,25482,24642
172,35060,34577,37771,37602,25504,24679,25480,24643
173,35056,34486,37762,37587,25498,24676,25474,24625
174,35031,34444,37738,37568,25505,24676,25461,24638
175,35027,34448,37731,37555,25507,24681,25462,24645
176,35026,34466,37731,37570,25504,24659,25466,24643
177,35035,34482,37731,37564,25494,24658,25468,24633
178,35027,34463,37722,37547,25493,24679,25475,24644
179,35034,34461,37730,37535,25491,24672,25458,24647
180,35027,34464,37721,37541,25482,24664,25460,24654
181,35025,34476,37732,37549,25487,24663,25453,24656
182,35026,34474,37727,37526,25481,24661,25451,24637
183,35039,34506,37723,37537,25477,24663,25449,24635
184,35043,34601,37721,37552,25461,24655,25432,24647
185,35093,34959,37715,37546,25461,24645,25432,24638
186,35260,35941,37712,37515,25468,24644,25430,24617
187,35614,37980,37709,37520,25468,24641,25427,24605
188,36125,40975,37699,37520,25455,24638,25419,24627
189,36545,43644,37709,37525,25444,24625,25415,24619
190,36733,45023,37708,37544,25440,24620,25421,24622
191,36769,45457,37717,37581,25438,24630,25421,24614
192,36691,45234,37715,37611,25442,24633,25422,24621
193,36517,44249,37718,37613,25440,24630,25421,24623
194,36159,42126,37711,37606,25442,24637,25420,24607
195,35651,39103,37727,37597,25439,24639,25417,24596
196,35239,36541,37708,37593,25435,24641,25414,24619
197,35055,35227,37694,37580,25440,24652,25423,24634
198,34999,34689,37691,37568,25447,24646,25414,24615
199,34997,34501,37697,37560,25435,24638,25409,24598
200,34997,34464,37691,37572,25428,24627,25402,24609
201,35004,34460,37688,37576,25428,24634,25395,24601
202,35003,34445,37690,37577,25427,24637,25391,24600
203,34991,34438,37689,37558,25425,24615,25396,24595
204,34987,34424,37681,37547,25422,24628,25395,24602
205,34978,34428,37681,37543,25423,24626,25393,24589
206,34964,34437,37686,37542,25418,24612,25394,24586
207,34955,34409,37697,37554,25420,24612,25388,24592
208,34948,34387,37698,37561,25408,24616,25387,24591
209,34954,34383,37686,37573,25410,24620,25380,24577
210,34967,34436,37685,37557,25413,24617,25386,24585
211,34967,34479,37681,37539,25411,24614,25387,24583
212,34961,34516,37682,37516,25418,24620,25381,24578
213,34957,34526,37672,37518,25410,24619,25390,24595
